Iteracion;Delta;Distancia
1071;3.1409898;3364.0
1072;3.1399255;3366.0
1073;3.140727;3370.0
1074;3.141527;3374.0
1075;3.140465;3376.0
1076;3.141264;3380.0
1077;3.1402042;3382.0
1078;3.141002;3386.0
1079;3.1399443;3388.0
1080;3.1407406;3392.0
1081;3.1415355;3396.0
1082;3.1404805;3398.0
1083;3.1412742;3402.0
1084;3.1402214;3404.0
1085;3.1410139;3408.0
1086;3.1399632;3410.0
1087;3.1407545;3414.0
1088;3.141544;3418.0
1089;3.1404958;3420.0
1090;3.1412845;3424.0
1091;3.1402383;3426.0
1092;3.1410255;3430.0
1093;3.1399817;3432.0
1094;3.1407678;3436.0
1095;3.139726;3438.0
1096;3.140511;3442.0
1097;3.1412945;3446.0
1098;3.140255;3448.0
1099;3.1410372;3452.0
1100;3.14;3454.0
1101;3.1407812;3458.0
1102;3.139746;3460.0
1103;3.1405258;3464.0
1104;3.1413043;3468.0
1105;3.1402714;3470.0
1106;3.141049;3474.0
1107;3.140018;3476.0
1108;3.1407943;3480.0
1109;3.1397655;3482.0
1110;3.1405406;3486.0
1111;3.141314;3490.0
1112;3.1402879;3492.0
1113;3.14106;3496.0
1114;3.1400359;3498.0
1115;3.1408072;3502.0
1116;3.139785;3504.0
1117;3.1405551;3508.0
1118;3.1413238;3512.0
1119;3.1403039;3514.0
1120;3.1410713;3518.0
1121;3.1400535;3520.0
